epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,3699.06,1.25435,1.1673,1.48929,0.79263,0.7841,0.82681,0.50021,1.08359,0.85625,1.3321,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,3745.19,1.25078,1.1705,1.46285,0.77214,0.7901,0.8292,0.50354,1.07736,0.84277,1.31888,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,3790.9,1.25752,1.1741,1.47332,0.76951,0.81698,0.83116,0.50629,1.07594,0.85031,1.32188,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,3836.58,1.24185,1.159,1.45383,0.79187,0.77476,0.83314,0.50624,1.07755,0.84209,1.32376,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,3882.75,1.23597,1.1521,1.45868,0.78262,0.78279,0.83885,0.50734,1.07293,0.82561,1.32163,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,3928.7,1.24199,1.13447,1.45903,0.78422,0.77558,0.82785,0.50332,1.07847,0.8389,1.32443,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,3974.67,1.23905,1.13003,1.456,0.7645,0.80689,0.83015,0.50735,1.06947,0.85575,1.32052,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
84,4020.43,1.24392,1.14877,1.47143,0.81097,0.76371,0.82758,0.50738,1.0713,0.8313,1.32175,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875
85,4066.11,1.2382,1.13243,1.45398,0.79714,0.77715,0.83575,0.50879,1.06739,0.81699,1.31503,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
86,4112.45,1.23942,1.14034,1.46322,0.78545,0.77852,0.82968,0.50606,1.07429,0.83172,1.32931,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
87,4158.22,1.22922,1.13545,1.45246,0.77079,0.80359,0.83346,0.50867,1.07447,0.84042,1.32739,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
88,4203.84,1.21679,1.12265,1.45172,0.8165,0.78538,0.8381,0.51004,1.08271,0.8162,1.32516,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375
89,4249.53,1.22302,1.11892,1.45952,0.80751,0.76777,0.83519,0.50867,1.07538,0.82408,1.32558,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
90,4295.5,1.20805,1.1112,1.43292,0.81375,0.77394,0.83567,0.51058,1.07575,0.81746,1.32594,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625
91,4342.52,1.11311,0.90282,1.25285,0.76651,0.79064,0.83139,0.49962,1.07356,0.85316,1.31956,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
92,4387.76,1.09272,0.84997,1.24861,0.78924,0.78193,0.83629,0.50508,1.07484,0.83036,1.31764,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875
93,4433.6,1.09201,0.84424,1.25235,0.78656,0.79472,0.84215,0.50753,1.0698,0.82336,1.31687,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
94,4479.62,1.07904,0.8211,1.23896,0.79399,0.81444,0.84579,0.50809,1.0762,0.82349,1.32253,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05
95,4524.72,1.07147,0.81164,1.23713,0.77923,0.80175,0.84164,0.50885,1.07217,0.82778,1.31643,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
96,4569.99,1.07736,0.80949,1.23651,0.79072,0.80323,0.84209,0.51001,1.06861,0.82028,1.31512,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
97,4615.52,1.06779,0.80913,1.23114,0.78299,0.809,0.84203,0.50818,1.07154,0.81229,1.31788,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
98,4660.98,1.06556,0.80886,1.22438,0.80521,0.79124,0.84123,0.51076,1.07073,0.81715,1.31803,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05
99,4706.69,1.0724,0.80543,1.23141,0.77705,0.81103,0.84166,0.51042,1.06783,0.81987,1.31867,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
100,4752.22,1.06234,0.80204,1.22563,0.80112,0.78419,0.84024,0.51201,1.06665,0.82184,1.31921,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05
