video,frame,timestamp_sec,rider_track_id,rider_conf,rider_bbox,occupant_count,head_count,helmeted_count,no_helmet_count,matched_occupant_ids,match_scores,raw_overload,confirmed_overload,helmet_status,elapsed_ms,fps
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,86,2.870,M001,0.552,1071.8 278.7 1163.5 412.6,0,0,0,0,,,0,0,UNKNOWN,28.484,35.108
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,87,2.903,M001,0.285,1076.6 282.5 1166.0 410.7,0,0,0,0,,,0,0,UNKNOWN,26.400,37.879
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,88,2.936,M001,0.254,1079.6 280.6 1168.2 409.3,0,0,0,0,,,0,0,UNKNOWN,26.162,38.224
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,89,2.970,M001,0.563,1082.7 280.3 1168.9 410.7,0,0,0,0,,,0,0,UNKNOWN,27.849,35.909
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,90,3.003,M001,0.395,1085.6 280.3 1171.0 409.6,0,0,0,0,,,0,0,UNKNOWN,26.356,37.942
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,91,3.036,M001,0.253,1086.8 282.2 1175.2 408.6,0,0,0,0,,,0,0,UNKNOWN,27.755,36.030
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,115,3.837,U001,0.380,0.0 184.3 270.7 679.2,0,0,0,0,,,0,0,UNKNOWN,26.966,37.084
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,116,3.871,M002,0.700,0.0 208.2 301.0 689.0,0,0,0,0,,,0,0,UNKNOWN,27.137,36.850
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,117,3.904,M002,0.864,0.0 263.7 335.1 703.1,0,0,0,0,,,0,0,UNKNOWN,26.959,37.093
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,118,3.937,M002,0.893,0.0 260.8 345.1 707.5,0,0,0,0,,,0,0,UNKNOWN,24.912,40.142
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,119,3.971,M002,0.751,1.0 196.3 378.5 709.5,0,0,0,0,,,0,0,UNKNOWN,43.038,23.235
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,120,4.004,M002,0.776,0.9 224.7 400.2 703.6,0,0,0,0,,,0,0,UNKNOWN,27.672,36.138
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,121,4.037,M002,0.499,2.2 245.3 420.8 705.4,0,0,0,0,,,0,0,UNKNOWN,27.750,36.037
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,122,4.071,M002,0.459,28.2 266.2 446.4 611.4,0,0,0,0,,,0,0,UNKNOWN,27.916,35.822
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,123,4.104,M002,0.744,129.6 272.1 465.0 604.9,0,0,0,0,,,0,0,UNKNOWN,26.890,37.188
/Users/lujintao/Library/CloudStorage/OneDrive-AUTUniversity/MyProject-OneDrive/yolo_zhy-feature-yolo-sam3-cascade/YOLO_TRACK_SIMPLE/standardData/13/13.mp4,124,4.137,M002,0.783,160.5 275.5 481.7 591.2,0,0,0,0,,,0,0,UNKNOWN,46.780,21.377
