frame,timestamp_sec,model,model_path,class_id,class_name,report_conf,predict_conf,imgsz,iou,elapsed_ms,fps,detections,max_conf
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.446,42.651,1,0.054
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.446,42.651,0,0.000
14,0.467,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.446,42.651,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.715,42.168,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.715,42.168,0,0.000
14,0.467,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.715,42.168,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.527,42.505,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.039,41.598,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.039,41.598,0,0.000
15,0.500,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.039,41.598,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.163,43.172,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.822,43.817,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.822,43.817,0,0.000
16,0.533,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.822,43.817,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.929,40.113,0,0.000
17,0.567,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.895,41.850,0,0.000
17,0.567,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.895,41.850,0,0.000
17,0.567,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.895,41.850,0,0.000
18,0.600,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.530,42.499,0,0.000
18,0.600,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.530,42.499,0,0.000
18,0.600,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.530,42.499,0,0.000
18,0.600,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,22.682,44.087,0,0.000
18,0.600,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,22.682,44.087,0,0.000
18,0.600,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,22.682,44.087,0,0.000
19,0.633,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.577,44.293,0,0.000
19,0.633,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.577,44.293,0,0.000
19,0.633,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.577,44.293,0,0.000
19,0.633,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.220,43.067,0,0.000
19,0.633,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.220,43.067,0,0.000
19,0.633,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.220,43.067,0,0.000
20,0.667,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,22.663,44.125,0,0.000
20,0.667,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,22.663,44.125,0,0.000
20,0.667,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,22.663,44.125,0,0.000
20,0.667,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.725,42.149,0,0.000
20,0.667,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.725,42.149,0,0.000
20,0.667,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.725,42.149,0,0.000
21,0.700,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.445,42.653,0,0.000
21,0.700,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.445,42.653,0,0.000
21,0.700,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,23.445,42.653,0,0.000
21,0.700,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,24.094,41.503,0,0.000
21,0.700,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,24.094,41.503,0,0.000
21,0.700,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,24.094,41.503,0,0.000
22,0.733,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,24.657,40.557,0,0.000
22,0.733,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,24.657,40.557,0,0.000
22,0.733,baseline,models/baseline_best.pt,0,ebike,0.500,0.050,640,0.45,24.657,40.557,0,0.000
22,0.733,bifpn,models/bifpn_best.pt,0,ebike,0.050,0.050,640,0.45,23.412,42.714,0,0.000
22,0.733,bifpn,models/bifpn_best.pt,0,ebike,0.250,0.050,640,0.45,23.412,42.714,0,0.000
22,0.733,bifpn,models/bifpn_best.pt,0,ebike,0.500,0.050,640,0.45,23.412,42.714,0,0.000
23,0.767,baseline,models/baseline_best.pt,0,ebike,0.050,0.050,640,0.45,23.198,43.108,0,0.000
23,0.767,baseline,models/baseline_best.pt,0,ebike,0.250,0.050,640,0.45,23.198,43.108,0,0.000
