video,frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,95,3.167,11,motorcycle,0.618,71.1 422.1 381.1 572.4,1,1.200,0,0,27.514,36.346
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,96,3.200,11,motorcycle,0.327,119.4 375.5 414.6 578.6,1,1.200,0,0,27.016,37.015
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,98,3.267,11,motorcycle,0.452,206.3 392.4 475.2 551.8,1,1.200,0,0,29.460,33.944
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,99,3.300,11,motorcycle,0.495,257.2 392.6 503.5 561.0,1,1.200,0,0,26.959,37.093
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,100,3.333,11,motorcycle,0.599,298.2 386.6 528.9 549.6,1,1.200,0,0,29.380,34.037
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,101,3.367,11,motorcycle,0.742,334.5 386.9 552.0 545.7,1,1.200,0,0,28.767,34.762
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,101,3.367,12,bicycle,0.277,1168.1 404.6 1216.7 440.7,1,1.131,0,0,28.767,34.762
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,102,3.400,11,motorcycle,0.784,371.6 390.6 576.8 537.9,1,1.200,0,0,46.094,21.695
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,102,3.400,12,bicycle,0.288,1168.0 404.5 1216.8 441.1,1,1.146,0,0,46.094,21.695
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,103,3.433,11,motorcycle,0.772,402.3 388.8 598.6 532.6,1,1.200,0,0,28.796,34.727
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,104,3.467,11,motorcycle,0.506,434.9 382.3 624.7 525.8,1,1.200,0,0,29.721,33.646
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,105,3.500,11,motorcycle,0.678,467.2 388.5 638.8 522.9,1,1.200,0,0,38.996,25.644
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,106,3.533,11,motorcycle,0.542,490.9 392.8 655.6 518.8,1,1.200,0,0,39.057,25.604
/Users/lujintao/Downloads/Weixin Videos2026-05-04_154833_153.mp4,107,3.567,11,motorcycle,0.527,516.8 393.1 673.8 511.9,1,1.200,0,0,65.445,15.280
