frame,timestamp_sec,vehicle_track_id,vehicle_class,vehicle_conf,vehicle_bbox,matched_person_ids,matched_person_count,match_scores,raw_overload,confirmed_overload,elapsed_ms,fps
209,6.967,U002,motorcycle,0.293,1159.9 354.5 1218.1 389.8,,0,,0,0,27.459,36.418
210,7.000,M007,motorcycle,0.371,35.5 375.6 146.0 478.6,P018,1,1.597,0,0,27.771,36.008
210,7.000,U002,motorcycle,0.347,1152.4 349.8 1213.6 390.4,,0,,0,0,27.771,36.008
211,7.033,M007,motorcycle,0.479,35.1 382.8 150.3 477.4,P018,1,1.500,0,0,26.649,37.525
211,7.033,U002,motorcycle,0.289,1151.2 352.4 1206.5 389.3,,0,,0,0,26.649,37.525
212,7.067,M007,motorcycle,0.538,42.9 385.5 157.1 477.5,P018,1,1.592,0,0,28.483,35.109
213,7.100,M007,motorcycle,0.534,53.5 386.5 157.8 475.8,P018,1,1.596,0,0,26.964,37.086
213,7.100,U002,motorcycle,0.280,791.7 351.9 857.3 403.0,,0,,0,0,26.964,37.086
214,7.133,M007,motorcycle,0.533,58.2 378.0 160.9 474.2,P018,1,1.548,0,0,25.861,38.668
215,7.167,M007,motorcycle,0.310,66.4 370.0 168.3 468.2,P018,1,1.553,0,0,26.384,37.901
216,7.200,M007,motorcycle,0.415,71.5 374.1 172.1 469.2,P018,1,1.573,0,0,26.969,37.080
216,7.200,U002,motorcycle,0.296,1113.6 354.9 1172.7 391.1,,0,,0,0,26.969,37.080
217,7.233,M007,motorcycle,0.483,76.6 367.7 177.6 467.0,P018,1,1.600,0,0,26.922,37.144
217,7.233,U002,motorcycle,0.255,1110.9 356.3 1166.4 390.3,,0,,0,0,26.922,37.144
218,7.267,M007,motorcycle,0.458,83.9 366.1 181.9 463.9,P018,1,1.596,0,0,26.801,37.312
219,7.300,M007,motorcycle,0.432,93.2 373.1 186.4 467.0,P018,1,1.548,0,0,26.861,37.228
219,7.300,U002,motorcycle,0.289,1095.3 351.3 1152.2 389.0,,0,,0,0,26.861,37.228
220,7.333,M007,motorcycle,0.440,99.0 369.4 189.7 459.4,P018,1,1.580,0,0,28.165,35.505
221,7.367,M007,motorcycle,0.538,105.3 372.5 194.3 459.5,P018,1,1.586,0,0,27.145,36.839
225,7.500,M007,motorcycle,0.444,129.8 364.5 205.8 446.3,P018,1,1.600,0,0,27.711,36.086
229,7.633,M007,motorcycle,0.404,144.8 362.2 215.5 439.2,P018,1,1.576,0,0,28.061,35.637
229,7.633,U002,motorcycle,0.277,175.7 351.1 220.1 429.3,,0,,0,0,28.061,35.637
230,7.667,M007,motorcycle,0.373,151.0 354.3 223.9 438.5,,0,,0,0,26.205,38.160
231,7.700,M007,motorcycle,0.454,154.5 353.8 226.9 441.3,,0,,0,0,26.985,37.057
232,7.733,M007,motorcycle,0.268,159.1 358.6 227.2 437.2,,0,,0,0,27.347,36.567
233,7.767,U001,motorcycle,0.355,1003.8 355.7 1063.1 389.0,,0,,0,0,28.097,35.591
233,7.767,M007,motorcycle,0.303,161.4 358.5 230.5 434.7,,0,,0,0,28.097,35.591
234,7.800,M007,motorcycle,0.377,166.5 360.0 233.0 434.4,,0,,0,0,27.289,36.645
235,7.833,U001,motorcycle,0.287,690.6 347.2 743.2 393.2,,0,,0,0,26.994,37.045
237,7.900,M007,motorcycle,0.455,175.7 360.3 241.3 430.7,,0,,0,0,26.045,38.395
240,8.000,M007,motorcycle,0.280,187.4 358.9 247.2 427.2,P018,1,1.450,0,0,27.836,35.925
241,8.033,M007,motorcycle,0.383,190.6 351.7 251.8 426.3,P018,1,1.555,0,0,26.812,37.297
243,8.100,M007,motorcycle,0.403,195.7 349.9 257.4 424.0,P018,1,1.583,0,0,27.708,36.090
249,8.300,M007,motorcycle,0.296,213.5 349.8 268.5 419.0,,0,,0,0,27.383,36.519
